Default Dataset,
X,Y
302.20398553634334,0.22387211385683406
400.17633932646015,0.18992031790533345
505.31795273644065,0.1637893706954065
600.6363783241018,0.14677992676220705
701.7038286703822,0.13081774742601948
809.2217409292141,0.12049038191489476
905.4157189380937,0.11097830699315038
1004.3293919340605,0.10448347758440815
2004.766469048555,0.06206648387041719
3009.0126602227697,0.044913919098431065
4001.763393264597,0.036268016907964225
4966.609758663147,0.030767714577267367
5980.471976105779,0.02653441540077048
6986.789735577608,0.023390936989934597
7953.583627213136,0.02142655652669836
8899.043703025472,0.019519837166191427
